Election,Party,Mandates,Votes
17,Kadima,29,690901
17,Avoda,19,472366
17,Shas,12,299054
17,Likud,12,281996
17,IsraelBeitenu,11,281880
17,IchudLeumi,9,224083
17,Gil,7,185759
17,YahadutTora,6,147091
17,Meretz,5,118302
17,Raam,4,94786
17,Chadash,3,86092
17,Balad,3,72066
18,Kadima,28,758032
18,Likud,27,729054
18,IsraelBeitenu,15,394577
18,Avoda,13,334900
18,Shas,11,286300
18,YahadutTora,5,147954
18,Raam,4,113954
18,IchudLeumi,4,112570
18,Chadash,4,112130
18,Meretz,3,99611
18,BayitYehudi,3,96765
18,Balad,3,83739
19,Likud,31,885163
19,YeshAtid,19,543458
19,Avoda,15,432118
19,BayitYehudi,12,345985
19,Shas,11,331868
19,YahadutTora,7,195892
19,Tnuaa,6,189167
19,Meretz,6,172403
19,Meshutefet,4,138450
19,Chadash,4,113439
19,Balad,3,97030
19,Kadima,2,78974
20,Likud,30,985408
20,MachaneTziyoni,24,786313
20,Meshutefet,13,446583
20,YeshAtid,11,371602
20,Kulanu,10,315360
20,BayitYehudi,8,283910
20,Shas,7,241613
20,IsraelBeitenu,6,214906
20,YahadutTora,6,210143
20,Meretz,5,165529
21,Likud,35,1140370
21,KacholLavan,35,1125881
21,Shas,8,258275
21,YahadutTora,8,249049
21,Chadash,6,193442
21,Avoda,6,190870
21,IsraelBeitenu,5,173004
21,IchudLeumi,5,159468
21,Meretz,4,156473
21,Kulanu,4,152756
21,Raam,4,143666
22,KacholLavan,33,1151214
22,Likud,32,1113617
22,Meshutefet,13,470211
22,Shas,9,330199
22,IsraelBeitenu,8,310154
22,YahadutTora,7,268775
22,Yamina,7,260655
22,Avoda,6,212782
22,MachaneDemocrati,5,192495
23,Likud,36,1352449
23,KacholLavan,33,1220381
23,Meshutefet,15,581507
23,Shas,9,352853
23,YahadutTora,7,274437
23,Avoda,7,267480
23,IsraelBeitenu,7,263365
23,Yamina,6,240689
